loss = 1.8507556129934222, MAPE = 0.6373283127161334
loss = 2.158084836563439, MAPE = 0.5451601177808242
loss = 1.9454865636040597, MAPE = 0.6119965669672519
loss = 1.8555803792804688, MAPE = 0.25060572234592204
loss = 1.7734802245333559, MAPE = 0.1930075700325142
loss = 1.6593507623224146, MAPE = 0.23847694441209985
loss = 1.6353640954209057, MAPE = 0.32738368342537444
loss = 2.113206253633128, MAPE = 0.7387630249600297
loss = 1.8241208696364213, MAPE = 0.4668860518578442
loss = 1.6957720043936104, MAPE = 0.8464204813137495
loss = 1.836199259297708, MAPE = 0.4551256903976227
loss = 2.041966451579625, MAPE = 0.3609842973275634
loss = 1.7094865869154148, MAPE = 0.36019114173097333
loss = 1.662043045391498, MAPE = 0.28335949891474654
loss = 2.0028677844785516, MAPE = 0.5477194597313556
loss = 2.052114343045311, MAPE = 0.9277764504002142
loss = 1.6592972737082454, MAPE = 0.36301522030176253
loss = 1.6645724839949727, MAPE = 0.1800419857692833
loss = 1.941061284858311, MAPE = 0.20916945472589987
loss = 1.9382157010080143, MAPE = 0.40060811792041684
loss = 2.067073241801507, MAPE = 0.3581685152500669
loss = 1.5042143274392181, MAPE = 0.3260725349538326
loss = 1.8064726005251361, MAPE = 0.48223182951952737
loss = 1.7222353283663712, MAPE = 0.7075687213787368
loss = 1.722856329529096, MAPE = 0.5125112757573171
loss = 1.7954218377502125, MAPE = 0.3984496873436
loss = 1.6284484365326037, MAPE = 7.308661466616319
loss = 1.6948066372418908, MAPE = 0.656582941660368
loss = 1.6818278961065736, MAPE = 3.4724086624913943
loss = 1.7101712155313165, MAPE = 0.4498627360514485
loss = 1.453500202497022, MAPE = 0.7555969113495441
loss = 1.82587643688548, MAPE = 0.30669392423925207
loss = 1.6160283053130293, MAPE = 0.2606623843873035
loss = 1.5570863233690413, MAPE = 0.21436817786589898
loss = 1.647870616895459, MAPE = 0.6699453703019035
loss = 1.785471429409229, MAPE = 0.4569816175074316
loss = 1.4807848791154516, MAPE = 2.422831873794779
loss = 1.637839853153859, MAPE = 0.32832176769250304
loss = 1.6131056003174797, MAPE = 0.4081449705613685
loss = 1.7939699491281251, MAPE = 0.44223289321669684
loss = 1.6713773867089274, MAPE = 0.509994404745503
loss = 1.6430911698921613, MAPE = 0.2983065241078344
loss = 1.8393288038799855, MAPE = 2.194615742816729
loss = 1.5368648478612548, MAPE = 0.26089116174204724
loss = 1.5854374604386763, MAPE = 0.29668550640660213
loss = 1.4307011731003045, MAPE = 0.35759897439355326
